Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,NeuerFall,date
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584662400000,0,20-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1584748800000,0,21-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584835200000,0,22-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1585008000000,0,24-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1585180800000,0,26-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1585267200000,0,27-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1585353600000,0,28-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1585526400000,0,30-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,2,0,1583971200000,0,12-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,2,0,1584316800000,0,16-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,4,0,1584489600000,0,18-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,3,0,1584662400000,0,20-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,1,0,1584835200000,0,22-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,2,0,1584921600000,0,23-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,2,0,1585008000000,0,24-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,1,0,1585094400000,0,25-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,4,0,1585180800000,0,26-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,1,0,1585267200000,0,27-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,4,0,1585353600000,0,28-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,1,0,1585440000000,0,29-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,W,1,0,1585526400000,1,30-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,1,0,1583539200000,0,07-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,1,0,1584230400000,0,15-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,1,0,1585180800000,0,26-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,1,0,1585267200000,0,27-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,5,0,1585353600000,0,28-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,M,1,0,1585526400000,1,30-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,W,1,0,1584489600000,0,18-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,W,1,0,1584748800000,0,21-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,W,3,0,1585008000000,0,24-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,W,1,0,1585180800000,0,26-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A60-A79,W,1,0,1585353600000,0,28-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A80+,M,2,0,1585180800000,0,26-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A80+,M,1,0,1585526400000,1,30-03-2020
Rheinland-Pfalz,LK Bitburg-Prüm,A80+,W,1,0,1585526400000,1,30-03-2020
Nordrhein-Westfalen,LK Wesel,A00-A04,W,1,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A00-A04,W,2,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,3,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,2,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,5,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,1,0,1584576000000,0,19-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,2,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,2,0,1584748800000,0,21-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,2,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,3,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,3,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,M,1,0,1585526400000,0,30-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1582848000000,0,28-02-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584144000000,0,14-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584576000000,0,19-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584835200000,0,22-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,2,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,2,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,2,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1585440000000,1,29-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,2,0,1585526400000,0,30-03-2020
Nordrhein-Westfalen,LK Wesel,A15-A34,W,1,0,1585526400000,1,30-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1583712000000,0,09-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,3,0,1583798400000,0,10-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1583884800000,0,11-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,3,0,1583971200000,0,12-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,5,0,1584057600000,0,13-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,3,0,1584144000000,0,14-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,4,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,10,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,4,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,9,0,1584576000000,0,19-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,3,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1584662400000,1,20-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,7,0,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,3,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,4,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1585353600000,1,28-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1585526400000,0,30-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,1,0,1585526400000,1,30-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,M,2,0,1585612800000,1,31-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,1,0,1583798400000,0,10-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,1,0,1583884800000,0,11-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,3,0,1583971200000,0,12-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,2,0,1584057600000,0,13-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,2,0,1584144000000,0,14-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,9,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,7,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,1,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,8,0,1584576000000,0,19-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,6,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,3,0,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,1,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,2,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,4,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,4,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A35-A59,W,1,0,1585612800000,1,31-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1583884800000,0,11-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1584144000000,0,14-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,2,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,1,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1584576000000,0,19-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,2,0,1584748800000,0,21-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,2,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,5,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,3,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1585353600000,0,28-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,2,0,1585526400000,0,30-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,2,0,1585526400000,1,30-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,M,1,0,1585612800000,1,31-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,1,0,1583971200000,0,12-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,1,0,1584057600000,0,13-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1584144000000,0,14-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1584316800000,0,16-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1584489600000,0,18-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,3,0,1584662400000,0,20-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,1,0,1584748800000,0,21-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,1,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,1,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A60-A79,W,2,0,1585526400000,0,30-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,M,1,1,1584921600000,0,23-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,M,1,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,1,0,1584403200000,0,17-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,1,0,1585008000000,0,24-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,2,0,1585094400000,0,25-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,1,0,1585180800000,0,26-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,1,0,1585267200000,0,27-03-2020
Nordrhein-Westfalen,LK Wesel,A80+,W,1,0,1585612800000,1,31-03-2020
Hessen,SK Darmstadt,A15-A34,M,3,0,1584489600000,0,18-03-2020
Hessen,SK Darmstadt,A15-A34,M,2,0,1584576000000,0,19-03-2020
Hessen,SK Darmstadt,A15-A34,M,3,0,1584662400000,0,20-03-2020
Hessen,SK Darmstadt,A15-A34,M,1,0,1584748800000,0,21-03-2020
Hessen,SK Darmstadt,A15-A34,M,1,0,1585008000000,0,24-03-2020
Hessen,SK Darmstadt,A15-A34,M,2,0,1585094400000,0,25-03-2020
Hessen,SK Darmstadt,A15-A34,M,2,0,1585180800000,0,26-03-2020
Hessen,SK Darmstadt,A15-A34,M,7,0,1585267200000,0,27-03-2020
Hessen,SK Darmstadt,A15-A34,M,2,0,1585526400000,0,30-03-2020
Hessen,SK Darmstadt,A15-A34,M,1,0,1585612800000,1,31-03-2020
Hessen,SK Darmstadt,A15-A34,W,3,0,1584316800000,0,16-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1584403200000,0,17-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1584662400000,0,20-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1584748800000,0,21-03-2020
Hessen,SK Darmstadt,A15-A34,W,2,0,1585094400000,0,25-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1585180800000,0,26-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1585267200000,0,27-03-2020
Hessen,SK Darmstadt,A15-A34,W,1,0,1585353600000,0,28-03-2020
Hessen,SK Darmstadt,A35-A59,M,1,0,1584057600000,0,13-03-2020
Hessen,SK Darmstadt,A35-A59,M,2,0,1584316800000,0,16-03-2020
Hessen,SK Darmstadt,A35-A59,M,3,0,1584489600000,0,18-03-2020
Hessen,SK Darmstadt,A35-A59,M,2,0,1584662400000,0,20-03-2020
Hessen,SK Darmstadt,A35-A59,M,1,0,1585008000000,0,24-03-2020
Hessen,SK Darmstadt,A35-A59,M,3,0,1585180800000,0,26-03-2020
Hessen,SK Darmstadt,A35-A59,M,1,0,1585267200000,0,27-03-2020
Hessen,SK Darmstadt,A35-A59,M,2,0,1585440000000,0,29-03-2020
Hessen,SK Darmstadt,A35-A59,M,2,0,1585526400000,0,30-03-2020
Hessen,SK Darmstadt,A35-A59,M,1,0,1585612800000,1,31-03-2020
Hessen,SK Darmstadt,A35-A59,W,1,0,1584057600000,0,13-03-2020
Hessen,SK Darmstadt,A35-A59,W,2,0,1584748800000,0,21-03-2020
Hessen,SK Darmstadt,A35-A59,W,1,0,1585008000000,0,24-03-2020
Hessen,SK Darmstadt,A35-A59,W,2,0,1585180800000,0,26-03-2020
Hessen,SK Darmstadt,A35-A59,W,2,0,1585267200000,0,27-03-2020
Hessen,SK Darmstadt,A35-A59,W,2,0,1585526400000,0,30-03-2020
Hessen,SK Darmstadt,A60-A79,M,1,0,1584316800000,0,16-03-2020
Hessen,SK Darmstadt,A60-A79,M,4,0,1585094400000,0,25-03-2020
Hessen,SK Darmstadt,A60-A79,M,1,0,1585180800000,0,26-03-2020
Hessen,SK Darmstadt,A60-A79,M,1,0,1585267200000,0,27-03-2020
Hessen,SK Darmstadt,A60-A79,M,1,0,1585440000000,0,29-03-2020
Hessen,SK Darmstadt,A60-A79,W,1,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A05-A14,M,1,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1584489600000,0,18-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,2,0,1584576000000,0,19-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1585008000000,0,24-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1585094400000,0,25-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1585267200000,1,27-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1585353600000,0,28-03-2020
Sachsen,LK Mittelsachsen,A15-A34,M,1,0,1585440000000,0,29-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1584057600000,0,13-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1584144000000,0,14-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1584489600000,0,18-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1584576000000,0,19-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1584748800000,0,21-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1585008000000,0,24-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1585267200000,0,27-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1585353600000,0,28-03-2020
Sachsen,LK Mittelsachsen,A15-A34,W,1,0,1585353600000,1,28-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,2,0,1584316800000,0,16-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,2,0,1584403200000,0,17-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,2,0,1584489600000,0,18-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,1,0,1584576000000,0,19-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,1,0,1584662400000,0,20-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,2,0,1584748800000,0,21-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,4,0,1585008000000,0,24-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,3,0,1585094400000,0,25-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,2,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,1,0,1585267200000,0,27-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,3,0,1585353600000,0,28-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,1,0,1585440000000,0,29-03-2020
Sachsen,LK Mittelsachsen,A35-A59,M,1,0,1585440000000,1,29-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1584057600000,0,13-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1584316800000,0,16-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1584403200000,0,17-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1584489600000,0,18-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,3,0,1584576000000,0,19-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1584662400000,0,20-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1584748800000,0,21-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1584921600000,0,23-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,3,0,1585008000000,0,24-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1585094400000,0,25-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1585267200000,0,27-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,5,0,1585353600000,0,28-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1585440000000,0,29-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,1,0,1585526400000,1,30-03-2020
Sachsen,LK Mittelsachsen,A35-A59,W,2,0,1585612800000,1,31-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,0,1584057600000,0,13-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,0,1584662400000,0,20-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,0,1584748800000,0,21-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,0,1585094400000,0,25-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,2,0,1585180800000,0,26-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,1,1585267200000,0,27-03-2020
Sachsen,LK Mittelsachsen,A60-A79,M,1,0,1585353600000,0,28-03-2020
