date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,5
2020-03-14,5
2020-03-15,6
2020-03-16,18
2020-03-17,47
2020-03-18,98
2020-03-19,192
2020-03-20,359
2020-03-21,670
2020-03-22,1236
2020-03-23,1529
2020-03-24,1872
2020-03-25,2433
2020-03-26,3629
2020-03-27,5698
2020-03-28,7402
2020-03-29,9217
2020-03-30,10827
2020-03-31,13531
2020-04-01,15679
2020-04-02,18135
2020-04-03,20921
2020-04-04,23934
2020-04-05,27069
2020-04-06,30217
2020-04-07,34109
2020-04-08,38226
2020-04-09,42282
2020-04-10,47029
2020-04-11,52167
2020-04-12,56956
2020-04-13,61049
2020-04-14,65111
2020-04-15,69392
2020-04-16,74193
2020-04-17,78546
2020-04-18,82329
2020-04-19,86306
2020-04-20,90980
2020-04-21,95591
2020-04-22,98674
2020-04-23,101790
2020-04-24,104912
2020-04-25,107773
2020-04-26,110130
2020-04-27,112261
2020-04-28,114653
2020-04-29,117589
2020-04-30,120204
2020-05-01,122392
2020-05-02,124375
2020-05-03,126045
2020-05-04,127659
2020-05-05,129491
2020-05-06,131744
2020-05-07,133721
2020-05-08,135569
2020-05-09,137115
2020-05-10,138657
2020-05-11,139771
2020-05-12,141475
2020-05-13,143114
2020-05-14,144749
2020-05-15,146457
2020-05-16,148067
2020-05-17,149435
2020-05-18,150593
2020-05-19,151615
2020-05-20,152587
2020-05-21,153548
2020-05-22,154500
2020-05-23,155686
2020-05-24,156827
2020-05-25,157814
2020-05-26,158762
2020-05-27,159797
2020-05-28,160979
2020-05-29,162120
2020-05-30,163103
2020-05-31,163942
2020-06-01,164769
2020-06-02,165555
2020-06-03,166422
2020-06-04,167410
2020-06-05,168340
2020-06-06,169218
2020-06-07,170132
2020-06-08,171121
2020-06-09,172114
2020-06-10,173036
2020-06-11,174023
2020-06-12,175218
2020-06-13,176677
2020-06-14,178239
2020-06-15,179831
2020-06-16,181298
2020-06-17,182727
2020-06-18,184031
2020-06-19,185245
2020-06-20,186493
2020-06-21,187685
2020-06-22,188897
2020-06-23,190165
2020-06-24,191657
2020-06-25,193115
2020-06-26,194511
2020-06-27,195883
2020-06-28,197239
2020-06-29,198613
2020-06-30,199906
2020-07-01,201098
2020-07-02,202284
2020-07-03,203456
2020-07-04,204610
2020-07-05,205758
2020-07-06,206844
2020-07-07,207897
2020-07-08,208938
2020-07-09,209962
2020-07-10,210965
2020-07-11,211981
2020-07-12,212993
2020-07-13,214001
2020-07-14,214993
2020-07-15,215940
2020-07-16,216873
2020-07-17,217799
2020-07-18,218717
2020-07-19,219641
2020-07-20,220572
2020-07-21,221500
2020-07-22,222402
2020-07-23,223315
2020-07-24,224252
2020-07-25,225173
2020-07-26,226100
2020-07-27,227019
2020-07-28,227982
2020-07-29,228924
2020-07-30,229891
2020-07-31,230873
2020-08-01,231869
2020-08-02,232856
2020-08-03,233851
2020-08-04,234934
2020-08-05,236112
2020-08-06,237265
2020-08-07,238450
2020-08-08,239622
2020-08-09,240804
2020-08-10,241997
2020-08-11,243180
2020-08-12,244392
2020-08-13,245635
2020-08-14,246861
2020-08-15,248117
2020-08-16,249309
2020-08-17,250542
2020-08-18,251805
2020-08-19,253108
2020-08-20,254520
2020-08-21,255723
2020-08-22,257032
2020-08-23,258249
2020-08-24,259692
2020-08-25,261194
2020-08-26,262507
2020-08-27,263998
2020-08-28,265515
2020-08-29,267064
2020-08-30,268546
2020-08-31,270133
2020-09-01,271705
2020-09-02,273301
2020-09-03,274943
2020-09-04,276555
2020-09-05,278228
2020-09-06,279806
2020-09-07,281509
2020-09-08,283270
2020-09-09,284943
2020-09-10,286455
2020-09-11,288126
2020-09-12,289635
2020-09-13,291162
2020-09-14,292878
2020-09-15,294620
2020-09-16,296391
2020-09-17,298039
2020-09-18,299810
2020-09-19,301348
2020-09-20,302867
2020-09-21,304610
2020-09-22,306302
2020-09-23,308069
2020-09-24,309790
2020-09-25,311455
2020-09-26,312966
2020-09-27,314433
2020-09-28,315845
2020-09-29,317272
2020-09-30,318663
2020-10-01,320070
2020-10-02,321512
2020-10-03,323014
2020-10-04,324443
2020-10-05,326046
2020-10-06,327557
2020-10-07,329138
2020-10-08,330753
2020-10-09,332382
2020-10-10,334031
2020-10-11,335533
2020-10-12,337147
