date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,4
2020-04-17,4
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,4
2020-04-23,4
2020-04-24,4
2020-04-25,4
2020-04-26,4
2020-04-27,4
2020-04-28,8
2020-04-29,8
2020-04-30,14
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,23
2020-05-05,174
2020-05-06,174
2020-05-07,187
2020-05-08,208
2020-05-09,208
2020-05-10,208
2020-05-11,208
2020-05-12,208
2020-05-13,220
2020-05-14,235
2020-05-15,235
2020-05-16,235
2020-05-17,235
2020-05-18,246
2020-05-19,251
2020-05-20,251
2020-05-21,251
2020-05-22,251
2020-05-23,251
2020-05-24,251
2020-05-25,299
2020-05-26,441
2020-05-27,443
2020-05-28,458
2020-05-29,463
2020-05-30,479
2020-05-31,483
2020-06-01,484
2020-06-02,484
2020-06-03,484
2020-06-04,485
2020-06-05,499
2020-06-06,499
2020-06-07,513
2020-06-08,513
2020-06-09,514
2020-06-10,611
2020-06-11,632
2020-06-12,639
2020-06-13,659
2020-06-14,661
2020-06-15,662
2020-06-16,671
2020-06-17,683
2020-06-18,688
2020-06-19,693
2020-06-20,698
2020-06-21,698
2020-06-22,702
2020-06-23,707
2020-06-24,710
2020-06-25,711
2020-06-26,712
2020-06-27,713
2020-06-28,713
2020-06-29,713
2020-06-30,714
2020-07-01,715
2020-07-02,717
2020-07-03,719
2020-07-04,719
2020-07-05,720
2020-07-06,721
2020-07-07,724
2020-07-08,724
2020-07-09,726
2020-07-10,727
2020-07-11,727
2020-07-12,729
2020-07-13,732
2020-07-14,732
2020-07-15,737
2020-07-16,740
2020-07-17,741
2020-07-18,743
2020-07-19,746
2020-07-20,746
2020-07-21,746
2020-07-22,747
2020-07-23,749
2020-07-24,860
2020-07-25,862
2020-07-26,863
2020-07-27,865
2020-07-28,867
2020-07-29,868
2020-07-30,870
2020-07-31,871
2020-08-01,874
2020-08-02,874
2020-08-03,874
2020-08-04,875
2020-08-05,878
2020-08-06,878
2020-08-07,878
2020-08-08,878
2020-08-09,878
2020-08-10,878
2020-08-11,881
2020-08-12,882
2020-08-13,883
2020-08-14,885
2020-08-15,885
2020-08-16,885
2020-08-17,885
2020-08-18,885
2020-08-19,885
2020-08-20,888
2020-08-21,891
2020-08-22,892
2020-08-23,892
2020-08-24,892
2020-08-25,892
2020-08-26,892
2020-08-27,894
2020-08-28,895
2020-08-29,895
2020-08-30,896
2020-08-31,896
2020-09-01,896
2020-09-02,896
2020-09-03,897
2020-09-04,897
2020-09-05,898
2020-09-06,898
2020-09-07,898
2020-09-08,898
2020-09-09,898
2020-09-10,901
2020-09-11,906
2020-09-12,906
2020-09-13,906
2020-09-14,906
2020-09-15,907
2020-09-16,907
2020-09-17,907
2020-09-18,908
2020-09-19,908
2020-09-20,908
2020-09-21,908
2020-09-22,908
2020-09-23,908
2020-09-24,910
2020-09-25,911
2020-09-26,911
2020-09-27,911
2020-09-28,911
2020-09-29,911
2020-09-30,911
2020-10-01,911
2020-10-02,911
2020-10-03,913
2020-10-04,913
2020-10-05,913
2020-10-06,914
2020-10-07,914
2020-10-08,921
2020-10-09,922
2020-10-10,922
2020-10-11,929
2020-10-12,929
