date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,7.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,0.0
2020-03-13,63.0
2020-03-14,36.0
2020-03-15,56.0
2020-03-16,34.0
2020-03-17,20.0
2020-03-18,33.0
2020-03-19,9.0
2020-03-20,16.0
2020-03-21,23.0
2020-03-22,20.0
2020-03-23,26.0
2020-03-24,17.0
2020-03-25,35.0
2020-03-26,134.0
2020-03-27,37.0
2020-03-28,70.0
2020-03-29,34.0
2020-03-30,36.0
2020-03-31,30.0
2020-04-01,34.0
2020-04-02,79.0
2020-04-03,103.0
2020-04-04,78.0
2020-04-05,58.0
2020-04-06,11.0
2020-04-07,41.0
2020-04-08,36.0
2020-04-09,22.0
2020-04-10,51.0
2020-04-11,46.0
2020-04-12,5.0
2020-04-13,23.0
2020-04-14,41.0
2020-04-15,27.0
2020-04-16,34.0
2020-04-17,25.0
2020-04-18,53.0
2020-04-19,16.0
2020-04-20,7.0
2020-04-21,17.0
2020-04-22,7.0
2020-04-23,33.0
2020-04-24,13.0
2020-04-25,30.0
2020-04-26,8.0
2020-04-27,4.0
2020-04-28,13.0
2020-04-29,6.0
2020-04-30,23.0
2020-05-01,5.0
2020-05-02,5.0
2020-05-03,1.0
2020-05-04,3.0
2020-05-05,8.0
2020-05-06,2.0
2020-05-07,7.0
2020-05-08,5.0
2020-05-09,8.0
2020-05-10,6.0
2020-05-11,2.0
2020-05-12,5.0
2020-05-13,5.0
2020-05-14,7.0
2020-05-15,8.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,10.0
2020-05-19,7.0
2020-05-20,3.0
2020-05-21,6.0
2020-05-22,7.0
2020-05-23,14.0
2020-05-24,2.0
2020-05-25,1.0
2020-05-26,10.0
2020-05-27,6.0
2020-05-28,11.0
2020-05-29,8.0
2020-05-30,6.0
2020-05-31,4.0
2020-06-01,1.0
2020-06-02,0.0
2020-06-03,10.0
2020-06-04,10.0
2020-06-05,20.0
2020-06-06,21.0
2020-06-07,8.0
2020-06-08,1.0
2020-06-09,7.0
2020-06-10,11.0
2020-06-11,7.0
2020-06-12,5.0
2020-06-13,3.0
2020-06-14,0.0
2020-06-15,1.0
2020-06-16,1.0
2020-06-17,2.0
2020-06-18,0.0
2020-06-19,2.0
2020-06-20,2.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,1.0
2020-06-24,1.0
2020-06-25,1.0
2020-06-26,2.0
2020-06-27,0.0
2020-06-28,1.0
2020-06-29,0.0
2020-06-30,2.0
2020-07-01,0.0
2020-07-02,1.0
2020-07-03,1.0
2020-07-04,2.0
2020-07-05,0.0
2020-07-06,1.0
2020-07-07,1.0
2020-07-08,8.0
2020-07-09,8.0
2020-07-10,2.0
2020-07-11,1.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,1.0
2020-07-15,1.0
2020-07-16,0.0
2020-07-17,4.0
2020-07-18,1.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,1.0
2020-07-22,3.0
2020-07-23,2.0
2020-07-24,1.0
2020-07-25,5.0
2020-07-26,1.0
2020-07-27,0.0
2020-07-28,4.0
2020-07-29,4.0
2020-07-30,9.0
2020-07-31,13.0
2020-08-01,8.0
2020-08-02,7.0
2020-08-03,1.0
2020-08-04,11.0
2020-08-05,22.0
2020-08-06,11.0
2020-08-07,9.0
2020-08-08,14.0
2020-08-09,5.0
