date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,6
2020-02-29,15
2020-03-01,19
2020-03-02,25
2020-03-03,32
2020-03-04,56
2020-03-05,87
2020-03-06,108
2020-03-07,147
2020-03-08,176
2020-03-09,205
2020-03-10,400
2020-03-11,598
2020-03-12,702
2020-03-13,996
2020-03-14,1090
2020-03-15,1221
2020-03-16,1333
2020-03-17,1463
2020-03-18,1550
2020-03-19,1746
2020-03-20,1914
2020-03-21,2118
2020-03-22,2385
2020-03-23,2621
2020-03-24,2863
2020-03-25,3084
2020-03-26,3369
2020-03-27,3755
2020-03-28,4015
2020-03-29,4284
2020-03-30,4445
2020-03-31,4641
2020-04-01,4863
2020-04-02,5147
2020-04-03,5370
2020-04-04,5550
2020-04-05,5687
2020-04-06,5865
2020-04-07,6086
2020-04-08,6086
2020-04-09,6211
2020-04-10,6314
2020-04-11,6409
2020-04-12,6525
2020-04-13,6603
2020-04-14,6623
2020-04-15,6740
2020-04-16,6896
2020-04-17,6937
2020-04-18,7036
2020-04-19,7078
2020-04-20,7156
2020-04-21,7191
2020-04-22,7338
2020-04-23,7401
2020-04-24,7463
2020-04-25,7499
2020-04-26,7527
2020-04-27,7599
2020-04-28,7660
2020-04-29,7710
2020-04-30,7738
2020-05-01,7783
2020-05-02,7809
2020-05-03,7847
2020-05-04,7904
2020-05-05,7955
2020-05-06,7996
2020-05-07,8034
2020-05-08,8070
2020-05-09,8099
2020-05-10,8105
2020-05-11,8132
2020-05-12,8157
2020-05-13,8175
