date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,3
2020-03-26,3
2020-03-27,4
2020-03-28,4
2020-03-29,8
2020-03-30,9
2020-03-31,17
2020-04-01,24
2020-04-02,30
2020-04-03,34
2020-04-04,43
2020-04-05,45
2020-04-06,47
2020-04-07,58
2020-04-08,63
2020-04-09,76
2020-04-10,94
2020-04-11,106
2020-04-12,130
2020-04-13,148
2020-04-14,170
2020-04-15,198
2020-04-16,232
2020-04-17,273
2020-04-18,313
2020-04-19,361
2020-04-20,405
2020-04-21,456
2020-04-22,513
2020-04-23,555
2020-04-24,615
2020-04-25,681
2020-04-26,747
2020-04-27,794
2020-04-28,867
2020-04-29,972
2020-04-30,1073
2020-05-01,1169
2020-05-02,1222
2020-05-03,1280
2020-05-04,1356
2020-05-05,1451
2020-05-06,1537
2020-05-07,1625
2020-05-08,1723
2020-05-09,1827
2020-05-10,1915
2020-05-11,2009
2020-05-12,2116
2020-05-13,2212
2020-05-14,2305
2020-05-15,2418
2020-05-16,2537
2020-05-17,2631
2020-05-18,2722
2020-05-19,2837
2020-05-20,2972
2020-05-21,3099
2020-05-22,3249
2020-05-23,3388
2020-05-24,3541
2020-05-25,3633
2020-05-26,3807
2020-05-27,3968
2020-05-28,4142
2020-05-29,4374
2020-05-30,4555
2020-05-31,4693
2020-06-01,4849
2020-06-02,5031
2020-06-03,5208
2020-06-04,5376
2020-06-05,5520
2020-06-06,5717
2020-06-07,5851
2020-06-08,5963
2020-06-09,6134
2020-06-10,6350
2020-06-11,6522
2020-06-12,6705
2020-06-13,6819
2020-06-14,6938
2020-06-15,7081
2020-06-16,7274
2020-06-17,7468
2020-06-18,7650
2020-06-19,7831
2020-06-20,7992
2020-06-21,8101
2020-06-22,8196
2020-06-23,8349
2020-06-24,8503
2020-06-25,8594
2020-06-26,8770
2020-06-27,8958
2020-06-28,9060
2020-06-29,9152
2020-06-30,9306
2020-07-01,9521
2020-07-02,9668
2020-07-03,9844
2020-07-04,10011
2020-07-05,10145
2020-07-06,10280
2020-07-07,10478
2020-07-08,10650
2020-07-09,10826
2020-07-10,11000
2020-07-11,11188
2020-07-12,11318
2020-07-13,11422
2020-07-14,11597
2020-07-15,11753
2020-07-16,11920
2020-07-17,12106
2020-07-18,12228
2020-07-19,12323
2020-07-20,12408
2020-07-21,12561
2020-07-22,12726
2020-07-23,12873
2020-07-24,13026
2020-07-25,13172
2020-07-26,13249
2020-07-27,13334
2020-07-28,13483
2020-07-29,13650
2020-07-30,13778
2020-07-31,13939
2020-08-01,14034
2020-08-02,14104
2020-08-03,14183
2020-08-04,14327
2020-08-05,14465
2020-08-06,14579
2020-08-07,14698
2020-08-08,14827
2020-08-09,14903
2020-08-10,14973
