date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,8
2020-03-12,11
2020-03-13,27
2020-03-14,36
2020-03-15,43
2020-03-16,55
2020-03-17,69
2020-03-18,86
2020-03-19,109
2020-03-20,137
2020-03-21,200
2020-03-22,313
2020-03-23,345
2020-03-24,345
2020-03-25,443
2020-03-26,558
2020-03-27,674
2020-03-28,786
2020-03-29,901
2020-03-30,989
2020-03-31,1181
2020-04-01,1181
2020-04-02,1317
2020-04-03,1475
2020-04-04,1673
2020-04-05,1801
2020-04-06,1988
2020-04-07,2100
2020-04-08,2249
2020-04-09,2528
2020-04-10,2752
2020-04-11,2974
2020-04-12,3234
2020-04-13,3400
2020-04-14,3472
2020-04-15,3574
2020-04-16,3751
2020-04-17,4016
2020-04-18,4210
2020-04-19,4273
2020-04-20,4467
2020-04-21,4658
2020-04-22,4821
2020-04-23,5166
2020-04-24,5338
2020-04-25,5538
2020-04-26,5779
2020-04-27,6021
2020-04-28,6021
2020-04-29,6378
2020-04-30,6532
2020-05-01,6720
2020-05-02,7090
2020-05-03,7090
2020-05-04,7197
2020-05-05,7523
2020-05-06,7731
2020-05-07,7868
2020-05-08,8070
2020-05-09,8282
2020-05-10,8448
2020-05-11,8616
2020-05-12,8783
2020-05-13,8944
2020-05-14,9118
2020-05-15,9268
2020-05-16,9449
2020-05-17,9606
2020-05-18,9726
2020-05-19,9867
2020-05-20,9977
2020-05-21,10116
2020-05-22,10267
2020-05-23,10577
2020-05-24,10926
2020-05-25,11183
2020-05-26,11447
2020-05-27,11728
2020-05-28,12131
2020-05-29,12531
2020-05-30,13018
2020-05-31,13463
2020-06-01,13837
2020-06-02,14095
2020-06-03,14609
2020-06-04,15044
2020-06-05,15463
2020-06-06,16004
2020-06-07,16425
2020-06-08,16854
2020-06-09,17233
2020-06-10,17889
2020-06-11,18586
2020-06-12,19211
2020-06-13,20059
2020-06-14,21418
2020-06-15,21422
2020-06-16,21962
2020-06-17,22597
2020-06-18,23351
2020-06-19,24274
2020-06-20,25222
2020-06-21,26030
2020-06-22,26752
2020-06-23,27314
2020-06-24,28030
2020-06-25,29037
2020-06-26,29905
2020-06-27,30658
2020-06-28,31686
2020-06-29,32785
2020-06-30,33550
2020-07-01,34463
2020-07-02,35237
2020-07-03,35995
2020-07-04,36983
2020-07-05,38149
2020-07-06,39334
2020-07-07,40291
2020-07-08,41251
2020-07-09,42216
2020-07-10,43257
2020-07-11,44332
2020-07-12,45633
2020-07-13,47173
2020-07-14,48096
2020-07-15,49243
2020-07-16,50373
2020-07-17,51408
2020-07-18,52261
2020-07-19,53468
2020-07-20,54426
2020-07-21,55153
2020-07-22,55906
2020-07-23,56817
2020-07-24,57993
2020-07-25,58864
2020-07-26,60296
2020-07-27,61442
2020-07-28,62223
2020-07-29,63269
2020-07-30,64191
2020-07-31,65256
2020-08-01,66383
2020-08-02,67453
2020-08-03,68456
2020-08-04,69424
2020-08-05,70231
2020-08-06,71418
2020-08-07,72560
2020-08-08,73651
2020-08-09,74492
2020-08-10,75394
